local_code,text,table_name,parent_varname,local_code_system,code,display,code_system,comment
gru,GRU,EnumAccessPolicyCode,AccessPolicy,access_policy_code,GRU,General Research Use,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-code/,LinkML gen-harmony
hmb,HMB,EnumAccessPolicyCode,AccessPolicy,access_policy_code,HMB,Health/Medical/Biomedical,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-code/,LinkML gen-harmony
ds,DS,EnumAccessPolicyCode,AccessPolicy,access_policy_code,DS,Disease-Specific (Disease/Trait/Exposure),https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-code/,LinkML gen-harmony
irb,IRB,EnumAccessPolicyCode,AccessPolicy,access_policy_code,IRB,IRB Approval Required,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-code/,LinkML gen-harmony
pub,PUB,EnumAccessPolicyCode,AccessPolicy,access_policy_code,PUB,Publication Required,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-code/,LinkML gen-harmony
col,COL,EnumAccessPolicyCode,AccessPolicy,access_policy_code,COL,Collaboration Required,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-code/,LinkML gen-harmony
npu,NPU,EnumAccessPolicyCode,AccessPolicy,access_policy_code,NPU,Not-for-profit use only,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-code/,LinkML gen-harmony
mds,MDS,EnumAccessPolicyCode,AccessPolicy,access_policy_code,MDS,Methods,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-code/,LinkML gen-harmony
gso,GSO,EnumAccessPolicyCode,AccessPolicy,access_policy_code,GSO,Genetic Studies only,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-code/,LinkML gen-harmony
gsr,GSR,EnumAccessPolicyCode,AccessPolicy,access_policy_code,GSR,Genomic Summary Results,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-code/,LinkML gen-harmony
rd,RD,EnumAccessPolicyCode,AccessPolicy,access_policy_code,RD,Related Diseases,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-code/,LinkML gen-harmony
duo_0000004,no restriction,EnumAccessPolicyCode,AccessPolicy,access_policy_code,0000004,This data use permission indicates there is no restriction on use.,http://purl.obolibrary.org/obo/duo.owl,LinkML gen-harmony
duo_0000042,general research use,EnumAccessPolicyCode,AccessPolicy,access_policy_code,0000042,This data use permission indicates that use is allowed for general research use for any research purpose.,http://purl.obolibrary.org/obo/duo.owl,LinkML gen-harmony
duo_0000006,health or medical or biomedical research,EnumAccessPolicyCode,AccessPolicy,access_policy_code,0000006,This data use permission indicates that use is allowed for health/medical/biomedical purposes; does not include the study of population origins or ancestry.,http://purl.obolibrary.org/obo/duo.owl,LinkML gen-harmony
duo_0000007,disease specific research,EnumAccessPolicyCode,AccessPolicy,access_policy_code,0000007,This data use permission indicates that use is allowed provided it is related to the specified disease.,http://purl.obolibrary.org/obo/duo.owl,LinkML gen-harmony
duo_0000011,population origins or ancestry research only,EnumAccessPolicyCode,AccessPolicy,access_policy_code,0000011,This data use permission indicates that use of the data is limited to the study of population origins or ancestry.,http://purl.obolibrary.org/obo/duo.owl,LinkML gen-harmony
duo_0000012,research specific restrictions,EnumAccessPolicyCode,AccessPolicy,access_policy_code,0000012,This data use modifier indicates that use is limited to studies of a certain research type.,http://purl.obolibrary.org/obo/duo.owl,LinkML gen-harmony
duo_0000015,no general methods research,EnumAccessPolicyCode,AccessPolicy,access_policy_code,0000015,"This data use modifier indicates that use does not allow methods development research (e.g., development of software or algorithms).",http://purl.obolibrary.org/obo/duo.owl,LinkML gen-harmony
duo_0000016,genetic studies only,EnumAccessPolicyCode,AccessPolicy,access_policy_code,0000016,"This data use modifier indicates that use is limited to genetic studies only (i.e., studies that include genotype research alone or both genotype and phenotype research, but not phenotype research exclusively)",http://purl.obolibrary.org/obo/duo.owl,LinkML gen-harmony
duo_0000018,"not for profit, non commercial use only",EnumAccessPolicyCode,AccessPolicy,access_policy_code,0000018,"This data use modifier indicates that use of the data is limited to not-for-profit organizations and not-for-profit use, non-commercial use.",http://purl.obolibrary.org/obo/duo.owl,LinkML gen-harmony
